"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"Flusight-baseline",0,1,107.879477030353,1,134.216981132075,0.141509433962264,0.518867924528302,212
"Flusight-baseline",1,1,229.050272764561,1,271.839622641509,0.0849056603773585,0.391509433962264,212
"Flusight-baseline",2,1,316.201946267432,1,368.650943396226,0.0849056603773585,0.372641509433962,212
"Flusight-baseline",3,1,360.187487694832,1,424.339622641509,0.0518867924528302,0.334905660377358,212
"MOBS-GLEAM_FLUH",0,0.688511172379016,86.0581231884058,0.899606699566625,139.811111111111,0.194444444444444,0.65,180
"MOBS-GLEAM_FLUH",1,0.522965062782473,137.709632850242,0.64541030371612,201.444444444444,0.255555555555556,0.677777777777778,180
"MOBS-GLEAM_FLUH",2,0.512843539503233,184.322497584541,0.563286066263201,235.944444444444,0.316666666666667,0.688888888888889,180
"MOBS-GLEAM_FLUH",3,0.389778887308644,155.904074879227,0.455033585040718,214.605555555556,0.305555555555556,0.733333333333333,180
"PSI-DICE",0,0.52544862813067,56.9745549630845,0.691597215854681,93.1179245283019,0.344339622641509,0.75,212
"PSI-DICE",1,0.556201312192275,128.176804757998,0.62306245223771,170.089622641509,0.278301886792453,0.599056603773585,212
"PSI-DICE",2,0.624247673225119,198.5626804758,0.68496030199519,253.452830188679,0.25,0.518867924528302,212
"PSI-DICE",3,0.530930491988411,193.674042247744,0.527795442235257,226.537735849057,0.325471698113208,0.5,212
