"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"Flusight-baseline",2022-10-22,1,125.744175553733,1,144.471698113208,0.231132075471698,0.537735849056604,212
"Flusight-baseline",2022-11-19,1,417.326979081214,1,447.754716981132,0.0471698113207547,0.212264150943396,212
"Flusight-baseline",2022-12-17,1,202.390910582445,1,261.367924528302,0.0707547169811321,0.471698113207547,212
"Flusight-baseline",2023-01-14,1,267.857118539787,1,345.452830188679,0.0141509433962264,0.39622641509434,212
"MOBS-GLEAM_FLUH",2022-10-22,0.629146347979198,119.257424749164,0.732021242401956,157.567307692308,0.317307692307692,0.740384615384615,104
"MOBS-GLEAM_FLUH",2022-11-19,0.619166650166483,272.683752173913,0.734194379899648,346.78,0.135,0.335,200
"MOBS-GLEAM_FLUH",2022-12-17,0.562233292495867,115.472813545151,0.703313461504084,186.408653846154,0.379807692307692,0.875,208
"MOBS-GLEAM_FLUH",2023-01-14,0.186269267164686,50.7745735785953,0.246390442891233,86.5817307692308,0.259615384615385,0.8125,208
"PSI-DICE",2022-10-22,0.665046318671777,86.9654881050041,0.697521185741279,103.405660377358,0.207547169811321,0.443396226415094,212
"PSI-DICE",2022-11-19,0.670620986670257,280.294062756358,0.736368646595995,330.13679245283,0.155660377358491,0.306603773584906,212
"PSI-DICE",2022-12-17,0.486523192638514,98.7305168170632,0.434773340108503,113.971698113208,0.570754716981132,0.900943396226415,212
"PSI-DICE",2023-01-14,0.415532142874317,111.398014766202,0.565785329853227,195.683962264151,0.264150943396226,0.716981132075472,212
