"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"Flusight-baseline",2022-10-22,1,18.0800082034454,1,26.4905660377358,0.415094339622642,0.849056603773585,53
"Flusight-baseline",2022-10-29,1,82.4727235438884,1,99.4339622641509,0.264150943396226,0.547169811320755,53
"Flusight-baseline",2022-11-05,1,160.678794093519,1,183.094339622642,0.169811320754717,0.415094339622642,53
"Flusight-baseline",2022-11-12,1,241.745176374077,1,268.867924528302,0.0754716981132075,0.339622641509434,53
"Flusight-baseline",2022-11-19,1,97.3791140278917,1,115.283018867925,0.113207547169811,0.452830188679245,53
"Flusight-baseline",2022-11-26,1,394.572871205906,1,423.358490566038,0,0.169811320754717,53
"Flusight-baseline",2022-12-03,1,632.050213289582,1,667.207547169811,0.0377358490566038,0.113207547169811,53
"Flusight-baseline",2022-12-10,1,545.305717801477,1,585.169811320755,0.0377358490566038,0.113207547169811,53
"Flusight-baseline",2022-12-17,1,118.431173092699,1,150.339622641509,0.0377358490566038,0.39622641509434,53
"Flusight-baseline",2022-12-24,1,172.845996718622,1,226.037735849057,0.0566037735849057,0.471698113207547,53
"Flusight-baseline",2022-12-31,1,172.062116488925,1,234.905660377358,0.113207547169811,0.566037735849057,53
"Flusight-baseline",2023-01-07,1,346.224356029532,1,434.188679245283,0.0754716981132075,0.452830188679245,53
"Flusight-baseline",2023-01-14,1,197.627612797375,1,244.754716981132,0,0.377358490566038,53
"Flusight-baseline",2023-01-21,1,266.309499589828,1,338.528301886792,0.0188679245283019,0.377358490566038,53
"Flusight-baseline",2023-01-28,1,300.016661197703,1,389.396226415094,0.0188679245283019,0.39622641509434,53
"Flusight-baseline",2023-02-04,1,307.474700574241,1,409.132075471698,0.0188679245283019,0.433962264150943,53
"MOBS-GLEAM_FLUH",2022-10-22,0.741921725624128,19.9502842809365,0.622274446934711,24.9230769230769,0.307692307692308,0.730769230769231,26
"MOBS-GLEAM_FLUH",2022-10-29,0.475139609781425,62.0440635451505,0.496222545679481,76.6538461538462,0.307692307692308,0.730769230769231,26
"MOBS-GLEAM_FLUH",2022-11-05,0.603795142543229,149.829297658863,0.708026388692857,197.038461538462,0.346153846153846,0.807692307692308,26
"MOBS-GLEAM_FLUH",2022-11-12,0.695515096990394,245.206053511706,0.854435559447456,331.653846153846,0.307692307692308,0.692307692307692,26
"MOBS-GLEAM_FLUH",2022-11-19,0.5858271471947,59.8542347826087,0.682936162709146,82.64,0.12,0.3,50
"MOBS-GLEAM_FLUH",2022-11-26,0.58273616127949,242.975747826087,0.685874869082762,306.72,0.16,0.4,50
"MOBS-GLEAM_FLUH",2022-12-03,0.676323987806654,451.537869565217,0.776398850336536,546.96,0.14,0.2,50
"MOBS-GLEAM_FLUH",2022-12-10,0.58525880878812,336.367156521739,0.731125878751971,450.8,0.12,0.44,50
"MOBS-GLEAM_FLUH",2022-12-17,1.26466846271432,152.079264214047,1.67659110527419,255.884615384615,0.230769230769231,0.788461538461538,52
"MOBS-GLEAM_FLUH",2022-12-24,0.867516736167486,152.198779264214,1.14027180413524,261.788461538462,0.365384615384615,0.846153846153846,52
"MOBS-GLEAM_FLUH",2022-12-31,0.506594377496253,88.3510785953177,0.520905296208413,123.980769230769,0.442307692307692,0.923076923076923,52
"MOBS-GLEAM_FLUH",2023-01-07,0.197088287843702,69.2621321070234,0.236708023831542,103.980769230769,0.480769230769231,0.942307692307692,52
"MOBS-GLEAM_FLUH",2023-01-14,0.389847961977466,78.2869481605351,0.547626764583017,136.153846153846,0.173076923076923,0.807692307692308,52
"MOBS-GLEAM_FLUH",2023-01-21,0.220642140495505,59.8358528428094,0.296754429788391,102.269230769231,0.211538461538462,0.75,52
"MOBS-GLEAM_FLUH",2023-01-28,0.132927427116036,40.6026588628763,0.172387347269877,68.3076923076923,0.346153846153846,0.865384615384615,52
"MOBS-GLEAM_FLUH",2023-02-04,0.0778889673639755,24.3728344481605,0.0951610800102583,39.5961538461538,0.307692307692308,0.826923076923077,52
"PSI-DICE",2022-10-22,0.523713904888638,10.2676620180476,0.595921345365163,16.6603773584906,0.471698113207547,0.792452830188679,53
"PSI-DICE",2022-10-29,0.63179073518619,54.3659228876128,0.687216030957221,70.1132075471698,0.132075471698113,0.471698113207547,53
"PSI-DICE",2022-11-05,0.673187711169036,111.912370795734,0.70454383421327,131.679245283019,0.113207547169811,0.30188679245283,53
"PSI-DICE",2022-11-12,0.681963850753675,171.315996718622,0.70677863504014,195.169811320755,0.113207547169811,0.207547169811321,53
"PSI-DICE",2022-11-19,0.512728515112845,50.1996390484003,0.675539339316221,78.1698113207547,0.30188679245283,0.641509433962264,53
"PSI-DICE",2022-11-26,0.658928118072435,260.395200984413,0.738449724597706,313.037735849057,0.132075471698113,0.283018867924528,53
"PSI-DICE",2022-12-03,0.701830811162448,444.10376538146,0.748997609557399,500.245283018868,0.0943396226415094,0.188679245283019,53
"PSI-DICE",2022-12-10,0.671080304202983,366.477645611157,0.732430374730148,429.094339622641,0.0943396226415094,0.113207547169811,53
"PSI-DICE",2022-12-17,0.562342979027035,66.7278260869565,0.666607462573659,100.377358490566,0.39622641509434,0.849056603773585,53
"PSI-DICE",2022-12-24,0.456231190249473,79.1413453650533,0.376568968759805,85.3584905660377,0.641509433962264,0.905660377358491,53
"PSI-DICE",2022-12-31,0.701504647179914,120.970377358491,0.750924096988313,176.77358490566,0.547169811320755,0.905660377358491,53
"PSI-DICE",2023-01-07,0.368946844807208,128.082518457752,0.213886463069821,93.377358490566,0.69811320754717,0.943396226415094,53
"PSI-DICE",2023-01-14,0.509000342181413,100.703092698934,0.723497510446404,177.264150943396,0.207547169811321,0.716981132075472,53
"PSI-DICE",2023-01-21,0.445854856042405,118.804749794914,0.625220005455458,211.849056603774,0.207547169811321,0.735849056603774,53
"PSI-DICE",2023-01-28,0.390581078232861,117.264208367514,0.526127838920649,205.11320754717,0.245283018867925,0.679245283018868,53
"PSI-DICE",2023-02-04,0.353566619582609,108.820008203445,0.460052752396061,188.509433962264,0.39622641509434,0.735849056603774,53
